feature,feature_value,shap_contribution,direction
emb_118,0.12084642797708511,-0.0071668969467282295,decrease_risk
cycle_number,2.0,0.006537914741784334,increase_risk
emb_069,0.17640270292758942,0.006496623624116182,increase_risk
emb_011,0.2639837861061096,-0.006396325305104256,decrease_risk
emb_044,0.0,0.006335174664855003,increase_risk
emb_125,0.0,-0.006094991695135832,decrease_risk
emb_056,0.0,0.0060830553993582726,increase_risk
emb_100,0.0,0.006051898468285799,increase_risk
emb_038,0.0,0.006040317937731743,increase_risk
emb_105,0.020041674375534058,-0.0060087465681135654,decrease_risk
prior_CMR_usage,7.0,0.00594199076294899,increase_risk
emb_001,0.0,-0.004893957637250423,decrease_risk
emb_030,0.0,0.004851392470300198,increase_risk
pagerank_score,1.060393635939784e-05,0.0048424601554870605,increase_risk
emb_084,0.0,0.004561830777674913,increase_risk
emb_086,0.0,-0.004404981154948473,decrease_risk
emb_002,0.0,-0.00429925974458456,decrease_risk
degree_centrality,6.666740741563795e-05,-0.004191952291876078,decrease_risk
emb_054,0.0,-0.004112496040761471,decrease_risk
store_visit_count,4.0,-0.004088789690285921,decrease_risk
emb_095,0.0,0.00403647730126977,increase_risk
location_variance,0.6546,0.0039037843234837055,increase_risk
emb_121,0.0,0.0038414266891777515,increase_risk
emb_005,0.06400033086538315,0.003744747955352068,increase_risk
emb_018,0.0012764865532517433,0.0037211887538433075,increase_risk
oxxo_cash_backed_share,0.0,-0.0033981380984187126,decrease_risk
emb_000,0.20837029814720154,-0.0032586802262812853,decrease_risk
emb_080,0.0,-0.002898228820413351,decrease_risk
indigenous_proxy,0.0,-0.002873131772503257,decrease_risk
emb_072,0.0,-0.0027520216535776854,decrease_risk
Falabella_app_session_flag,0.0,0.0027242230717092752,increase_risk
emb_099,0.3576653301715851,0.002496922155842185,increase_risk
CoDi_transaction_regularity,0.3933,-0.002417436335235834,decrease_risk
emb_122,0.0,0.0023835371248424053,increase_risk
emb_017,0.0,-0.002315955003723502,decrease_risk
emb_114,0.0,-0.002227063523605466,decrease_risk
weighted_tie_strength,3.7261999999999995,-0.002088830340653658,decrease_risk
emb_059,0.01530466414988041,-0.0018592940177768469,decrease_risk
emb_082,0.00046218931674957275,-0.0016545065445825458,decrease_risk
emb_047,0.0,-0.0016207563458010554,decrease_risk
emb_032,0.0,-0.001505277119576931,decrease_risk
emb_089,0.0,-0.0012301317183300853,decrease_risk
emb_009,0.0,0.0011721514165401459,increase_risk
emb_040,0.0691312626004219,-0.0010929559357464314,decrease_risk
emb_090,0.0,0.0010502777295187116,increase_risk
peer_default_contagion_score,0.0,-0.000919289595913142,decrease_risk
emb_012,0.0,-0.000889869756065309,decrease_risk
emb_013,0.0,0.0007453045691363513,increase_risk
emb_106,0.0,-0.0007048911065794528,decrease_risk
emb_067,0.0,-0.0006612030556425452,decrease_risk
emb_039,0.0,-0.0006595945451408625,decrease_risk
emb_064,0.0,0.0005361739313229918,increase_risk
gender_female_flag,1.0,0.0004933713353239,increase_risk
emb_110,0.0,0.0004831948899663985,increase_risk
emb_068,0.0,0.0004421618941705674,increase_risk
emb_126,0.03911643475294113,-0.00037765357410535216,decrease_risk
emb_124,0.0,-0.00036640261532738805,decrease_risk
emb_053,0.0,0.00024002743884921074,increase_risk
INE_verified_flag,1.0,-0.00021605096117127687,decrease_risk
emb_094,0.0,0.00018522156460676342,increase_risk
rural_flag,0.0,0.00015992864791769534,increase_risk
emb_116,0.0,-8.650893869344145e-05,decrease_risk
emb_019,0.3719191551208496,3.997255407739431e-05,increase_risk
cmr_credit_line_share,1.0,-2.4156077415682375e-05,decrease_risk
emb_034,0.0,-2.1789135644212365e-05,decrease_risk
age,55.0,-1.7825506802182645e-05,decrease_risk
emb_014,0.0,1.2586398952407762e-05,increase_risk
emb_075,0.0,9.780915206647478e-06,increase_risk
